,sequence,MatchId,Speaker,category,Target.vowelCluster.end,Target.vowelCluster.start,URL,duration,duration_ms,log_duration_ms,notes,error
534,ea,g_14;em_12_1134;n_31768-n_31769;p_19;#=ew_69_151932;prefix=03227-;[0]=ew_0_9797,K002M,PresentElder,256.761,254.971,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=14#ew_0_9797,1.79,1790,7.489970899,forced aligner error,y
5420,oa,g_1635;em_12_132817;n_135058-n_135059;p_288;#=ew_69_195430;prefix=44069-;[0]=ew_0_940332,L2H03M,L2,26.479,24.789,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=1635#ew_0_940332,1.69,1690,7.432483808,forced aligner error,y
1659,ea,g_466;em_12_170026;n_3622264-n_4016654;p_120;#=ew_69_165624;prefix=16043-;[0]=ew_0_1091608,K008M,PresentElder,296.2130001,294.613,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=466#ew_0_1091608,1.6000001,1600.0001,7.377758971,forced aligner error,y
2694,ea,g_97;em_12_162881;n_6281904-n_6282094;p_41;#=ew_69_163359;prefix=12729-;[0]=ew_0_1272455,K007M,PresentElder,225.179,223.839,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=97#ew_0_1272455,1.34,1340,7.200424893,forced aligner error,y
2805,ea,g_985;em_12_93864;n_7042945-n_106949;p_182;#=ew_69_226334;prefix=72698-;[0]=ew_0_609926,R005M,PresentElder,183.888,182.598,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=985#ew_0_609926,1.29,1290,7.162397497,forced aligner error,y
5451,oa,g_1653;em_12_134117;n_136140-n_27253;p_300;#=ew_69_194669;prefix=43061-;[0]=ew_0_948948,L2H02M,L2,61.055,59.855,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=1653#ew_0_948948,1.2,1200,7.090076836,forced aligner error,y
1658,ea,g_465;em_12_47947;n_8010-n_6953189;p_120;#=ew_69_165685;prefix=15778-;[0]=ew_0_299917,K008M,PresentElder,143.697,142.617,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=465#ew_0_299917,1.08,1080,6.98471632,forced aligner error,y
4942,oa,g_101;em_12_7054;n_36898-n_36899;p_41;#=ew_69_162989;prefix=13618-;[0]=ew_0_69547,K007M,PresentElder,155.791,154.741,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=101#ew_0_69547,1.05,1050,6.956545443,forced aligner error,y
5953,oa,g_368;em_12_35701;n_4465189-n_59530;p_92;#=ew_69_212616;prefix=60433-;[0]=ew_0_1116908,MU04M,Historical,73.096,72.076,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=368#ew_0_1116908,1.02,1020,6.927557906,forced aligner error,y
858,ea,g_1671;em_12_135017;n_136809-n_6399586;p_302;#=ew_69_198760;prefix=47011-;[0]=ew_0_1277148,L2H04M,L2,55.583,54.633,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=1671#ew_0_1277148,0.95,950,6.856461985,,
10519,ua,g_968;em_12_92832;n_106215-n_106216;p_183;#=ew_69_223298;prefix=70298-;[0]=ew_0_601629,R003M,PresentElder,294.698,293.778,https://labbcat.canterbury.ac.nz/maonze/transcript?ag_id=968#ew_0_601629,0.92,920,6.82437367,,
