"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"1",6,8,"MAONZE","K001M","PresentElder","M","g_12;em_12_903;n_31539-n_31540;p_28;#=ew_69_149484;prefix=00078-;[0]=ew_0_7982","te","mea","hoki","mea","mea","ea",95.284,95.344,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",95.29,379,1443,95.296,411,1477,95.302,446,1488,95.308,471,1492,95.314,482,1479,95.32,495,1449,95.326,515,1415,95.332,535,1380,95.338,550,1347,""
"2",8,10,"MAONZE","K001M","PresentElder","M","g_12;em_12_907;n_31543-n_31544;p_28;#=ew_69_149494;prefix=00087-;[0]=ew_0_8015","te","mehemea","te","mehemea","mehemea","ea",110.123,110.283,"mehemea ea","mehemea","mehemea","ea",TRUE,"no",3,"no","M","M",110.139,463,1550,110.155,499,1660,110.171,533,1460,110.187,556,1687,110.203,551,1652,110.219,545,1620,110.235,530,1515,110.251,524,1631,110.267,511,1741,""
"3",12,14,"MAONZE","K001M","PresentElder","M","g_12;em_12_917;n_31553-n_31554;p_28;#=ew_69_149526;prefix=00112-;[0]=ew_0_8112","he","mea","hou","mea","mea","ea",146.925,147.075,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",146.94,449,1444,146.955,495,1544,146.97,518,1531,146.985,529,1500,147,541,1405,147.015,575,1241,147.03,602,1114,147.045,611,1030,147.06,635,1042,""
"4",34,36,"MAONZE","K001M","PresentElder","M","g_12;em_12_968;n_31604-n_31605;p_28;#=ew_69_149805;prefix=00232-;[0]=ew_0_8542","hoki","mehemea","ka","mehemea","mehemea","ea",322.079,322.179,"mehemea ea","mehemea","mehemea","ea",TRUE,"no",3,"no","M","M",322.089,473,1308,322.099,506,1380,322.109,538,1482,322.119,572,1521,322.129,593,1479,322.139,616,1433,322.149,627,1391,322.159,635,1332,322.169,625,1287,""
"5",35,37,"MAONZE","K001M","PresentElder","M","g_12;em_12_969;n_31605-n_31606;p_28;#=ew_69_149815;prefix=00236-;[0]=ew_0_8556","he","mea","tapu","mea","mea","ea",328.207,328.477,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",328.234,491,1693,328.261,509,1753,328.288,516,1734,328.315,545,1681,328.342,547,1707,328.369,575,1622,328.396,583,1335,328.423,568,1357,328.45,560,1492,""
"6",52,54,"MAONZE","K001M","PresentElder","M","g_11;em_12_806;n_31452-n_31453;p_28;#=ew_69_149278;prefix=00314-;[0]=ew_0_7222","eeraa","mea","katoa","mea","mea","ea",106.362,106.492,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",106.375,480,1541,106.388,516,1393,106.401,535,1679,106.414,536,1717,106.427,544,1680,106.44,557,1566,106.453,583,1455,106.466,611,1372,106.479,558,1274,""
"7",55,57,"MAONZE","K001M","PresentElder","M","g_11;em_12_809;n_31455-n_31456;p_28;#=ew_69_149288;prefix=00324-;[0]=ew_0_7249","te","mea","kua","mea","mea","ea",119.806,119.896,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",119.815,444,1279,119.824,474,1323,119.833,486,1271,119.842,495,1205,119.851,497,1105,119.86,494,1018,119.869,455,920,119.878,408,860,119.887,486,791,""
"8",58,60,"MAONZE","K001M","PresentElder","M","g_11;em_12_810;n_31456-n_31457;p_28;#=ew_69_149293;prefix=00329-;[0]=ew_0_7266","teeraa","mea","hoki","mea","mea","ea",127.746,128.256,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",127.797,737,1962,127.848,411,1937,127.899,453,1694,127.95,506,1530,128.001,631,1081,128.052,661,1136,128.103,615,1029,128.154,618,1023,128.205,514,1030,""
"9",59,61,"MAONZE","K001M","PresentElder","M","g_11;em_12_815;n_31461-n_31462;p_28;#=ew_69_149303;prefix=00338-;[0]=ew_0_7306","ka","kitea","te","kitea","kitea","ea",148.575,148.995,"kitea ea","kitea","kitea","ea",TRUE,"no",2,"yes","M","M",148.617,453,1928,148.659,501,1900,148.701,499,1888,148.743,491,1925,148.785,452,1955,148.827,446,2044,148.869,388,1431,148.911,371,2075,148.953,447,2107,""
"10",65,67,"MAONZE","K001M","PresentElder","M","g_11;em_12_825;n_31471-n_31472;p_28;#=ew_69_149333;prefix=00366-;[0]=ew_0_7390","te","mea","hoki","mea","mea","ea",185.146,185.206,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M","M",185.152,441,1400,185.158,477,1489,185.164,505,1513,185.17,516,1537,185.176,526,1553,185.182,553,1539,185.188,583,1516,185.194,591,1486,185.2,582,1446,""
