"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"1",2,4,"MAONZE","K001M","PresentElder","M","g_12;em_12_895;n_31531-n_31532;p_28;#=ew_69_149463;prefix=00059-;[0]=ew_0_7916","i","whakaaetia","te","whakaaetia","whakaaetia","ia",69.535,69.685,"whakaaetia ia","whakaaetia","fakaaetia","ia",TRUE,"no",5,"no","M","M",69.55,409,1881,69.565,389,1858,69.58,413,1802,69.595,412,1783,69.61,407,1764,69.625,405,1786,69.64,409,1789,69.655,410,1685,69.67,404,1631,""
"2",3,5,"MAONZE","K001M","PresentElder","M","g_12;em_12_898;n_31534-n_31535;p_28;#=ew_69_149472;prefix=00068-;[0]=ew_0_7944","keeti","kia","hounga","kia","kia","ia",81.022,81.132,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M","M",81.033,533,1711,81.044,384,1978,81.055,439,1896,81.066,495,1655,81.077,550,1583,81.088,584,1455,81.099,614,1339,81.11,653,1195,81.121,622,1053,""
"3",4,6,"MAONZE","K001M","PresentElder","M","g_12;em_12_900;n_31536-n_31537;p_28;#=ew_69_149476;prefix=00072-;[0]=ew_0_7957","hoki","kia","mutu","kia","kia","ia",84.268,84.328,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M","M",84.274,468,1092,84.28,382,1163,84.286,324,1266,84.292,300,1340,84.298,285,1336,84.304,278,1251,84.31,273,1193,84.316,276,1175,84.322,282,1217,""
"4",16,18,"MAONZE","K001M","PresentElder","M","g_12;em_12_927;n_31563-n_31564;p_28;#=ew_69_149552;prefix=00133-;[0]=ew_0_8199","ka","waihotia","te","waihotia","waihotia","ia",191.12,191.22,"waihotia ia","waihotia","waihotia","ia",TRUE,"no",4,"no","M","M",191.13,403,1699,191.14,390,1919,191.15,400,1739,191.16,408,1730,191.17,440,1735,191.18,458,1694,191.19,447,1679,191.2,447,1613,191.21,431,1682,""
"5",31,33,"MAONZE","K001M","PresentElder","M","g_12;em_12_958;n_31594-n_31595;p_28;#=ew_69_149720;prefix=00203-;[0]=ew_0_8461","peeraa","kia","tae","kia","kia","ia",294.129,294.209,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M","M",294.137,375,2013,294.145,380,1923,294.153,415,1896,294.161,437,1854,294.169,451,1760,294.177,466,1623,294.185,510,1602,294.193,569,1554,294.201,506,1428,""
"6",32,34,"MAONZE","K001M","PresentElder","M","g_12;em_12_963;n_31599-n_31600;p_28;#=ew_69_149749;prefix=00215-;[0]=ew_0_8504","ka","katia","te","katia","katia","ia",307.4,307.53,"katia ia","katia","katia","ia",TRUE,"no",2,"yes","M","M",307.413,337,1851,307.426,349,1937,307.439,398,1932,307.452,420,1850,307.465,449,1750,307.478,498,1712,307.491,526,1631,307.504,517,1539,307.517,496,1558,""
"7",46,48,"MAONZE","K001M","PresentElder","M","g_11;em_12_798;n_31444-n_31445;p_28;#=ew_69_149256;prefix=00293-;[0]=ew_0_7163","maamaa","kia","ka","kia","kia","ia",74.385,74.615,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M","M",74.408,369,1963,74.431,427,2067,74.454,481,1799,74.477,547,1412,74.5,584,1132,74.523,560,953,74.546,629,1080,74.569,600,1101,74.592,600,1139,""
"8",50,52,"MAONZE","K001M","PresentElder","M","g_11;em_12_800;n_31446-n_31447;p_28;#=ew_69_149263;prefix=00300-;[0]=ew_0_7176","hei","tiaki","i","tiaki","tiaki","ia",85.789,86.019,"tiaki ia","tiaki","tiaki","ia",FALSE,"yes",1,"no","M","M",85.812,307,1654,85.835,369,2116,85.858,413,1965,85.881,519,1685,85.904,582,1436,85.927,640,1288,85.95,639,1203,85.973,661,1190,85.996,711,1239,""
"9",51,53,"MAONZE","K001M","PresentElder","M","g_11;em_12_801;n_31447-n_31448;p_28;#=ew_69_149267;prefix=00303-;[0]=ew_0_7185","e","tiaki","nei","tiaki","tiaki","ia",90.478,90.648,"tiaki ia","tiaki","tiaki","ia",FALSE,"yes",1,"no","M","M",90.495,369,1820,90.512,404,1983,90.529,441,1846,90.546,521,1660,90.563,567,1542,90.58,631,1372,90.597,686,1266,90.614,641,1065,90.631,623,1379,""
"10",66,68,"MAONZE","K001M","PresentElder","M","g_11;em_12_827;n_31473-n_31474;p_28;#=ew_69_149337;prefix=00370-;[0]=ew_0_1231071","e","ki:tia","nei","ki:tia","ki:tia","ia",190.976,191.156,"ki:tia ia","ki:tia","kItia","ia",TRUE,"no",3,"no","M","M",190.994,367,1979,191.012,428,1975,191.03,452,1808,191.048,542,1595,191.066,605,1465,191.084,657,1309,191.102,720,1190,191.12,723,1163,191.138,723,1197,""
"11",109,111,"MAONZE","K001M","PresentElder","M","g_10;em_12_706;n_31353-n_31354;p_28;#=ew_69_149868;prefix=00521-;[0]=ew_0_6328","te","tiaki","i","tiaki","tiaki","ia",98.456,98.636,"tiaki ia","tiaki","tiaki","ia",FALSE,"yes",1,"no","M","M",98.474,328,2003,98.492,380,1984,98.51,417,1895,98.528,517,1746,98.546,587,1554,98.564,658,1378,98.582,674,1276,98.6,648,1267,98.618,606,1288,""
"12",111,113,"MAONZE","K001M","PresentElder","M","g_10;em_12_707;n_31354-n_31355;p_28;#=ew_69_149881;prefix=00528-;[0]=ew_0_6345","te","tiaki","i","tiaki","tiaki","ia",102.577,102.727,"tiaki ia","tiaki","tiaki","ia",FALSE,"yes",1,"no","M","M",102.592,408,1978,102.607,438,1960,102.622,474,1469,102.637,553,1593,102.652,604,1372,102.667,641,1332,102.682,657,1258,102.697,652,1218,102.712,576,1207,""
"13",117,119,"MAONZE","K001M","PresentElder","M","g_10;em_12_718;n_31365-n_31366;p_28;#=ew_69_149928;prefix=00551-;[0]=ew_0_6441","ka","akotia","ma:tou","akotia","akotia","ia",141.586,141.726,"akotia ia","akotia","akotia","ia",TRUE,"no",3,"no","M","M",141.6,355,1849,141.614,351,1770,141.628,391,1945,141.642,451,1829,141.656,495,1711,141.67,540,1459,141.684,608,1347,141.698,590,1141,141.712,547,1052,""
