"","X.3","sequence","MatchId","F1..fPC1","F1..fPC2","F1..fPC3","F2..fPC1","F2..fPC2","F2..fPC3","Pitch..fPC1","Pitch..fPC2","Pitch..fPC3","Intensity..fPC1","Intensity..fPC2","Intensity..fPC3","Duration..z.scored","PC1","PC2","PC3","PC4","X.2","X.1","X","Corpus","Speaker","category","participant_gender","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","target_timestamp","Target.vowelCluster.end","joincode","word","word.alt.format","final","stress","moraPosition","complex","Language","participant_language","target_transcript","mean_rate"
"1",1,"ia","g_10;em_12_706;n_31353-n_31354;p_28;#=ew_69_149868;prefix=00521-;[0]=ew_0_6328",1.48734910265461,1.88078214708058,0.750051793976596,-0.485478332477987,0.624309605558672,0.0149292694114833,8.83857556761791,6.1210823883137,-1.31071509860195,7.38088827668038,3.12308960747898,-0.419030958802382,0.337340986287582,-0.694085052834129,1.82700684654074,-0.725874589061589,-0.0572168519239684,67,109,111,"MAONZE","K001M","PresentElder","M","te","tiaki","i","tiaki","tiaki","ia",98.456,98.636,"tiaki ia","tiaki","tiaki",FALSE,"yes",1,"no","M","M","K001M-03.trs",0.0593333333333362
"2",2,"ia","g_10;em_12_707;n_31354-n_31355;p_28;#=ew_69_149881;prefix=00528-;[0]=ew_0_6345",1.92618574648346,0.913063651221405,0.464724007506878,-1.2348093478103,0.395284646252593,0.21125137989329,-7.30283929841658,5.02351684577393,-2.55538293821678,6.10982481282335,1.60632234280208,2.22651406049463,-0.06155691033231,-0.877861435093465,1.1394923225593,-0.294817698134595,0.0983986834574202,69,111,113,"MAONZE","K001M","PresentElder","M","te","tiaki","i","tiaki","tiaki","ia",102.577,102.727,"tiaki ia","tiaki","tiaki",FALSE,"yes",1,"no","M","M","K001M-03.trs",0.0677777777777809
"3",3,"ia","g_10;em_12_718;n_31365-n_31366;p_28;#=ew_69_149928;prefix=00551-;[0]=ew_0_6441",-0.220204897728428,1.5096661498073,0.187124402131851,-0.577953683211807,0.600849202288794,-0.677648330065983,-80.2295532869172,-0.883218922923554,-1.86120441855943,0.694232625092724,-5.28205726104004,-0.0787964791329632,-0.194522875872589,1.13614598037646,1.25003424495102,-0.261299848786539,-1.09694565178049,74,117,119,"MAONZE","K001M","PresentElder","M","ka","akotia","ma:tou","akotia","akotia","ia",141.586,141.726,"akotia ia","akotia","akotia",TRUE,"no",3,"no","M","M","K001M-03.trs",0.072692307692305
"4",4,"ia","g_10;em_12_718;n_31365-n_31366;p_28;#=ew_69_149931;prefix=00553-;[0]=ew_0_6444",0.474068819068216,0.679470886836338,0.533524939421477,-0.925137795309905,-0.409868730397541,-0.688707457989593,-27.7013682387344,-3.62811950342354,-1.0208312698779,7.40785739358555,-7.43699901579776,2.5252376899146,-0.194522875872589,0.981096642668199,0.800571102846817,-0.0631221006367097,-1.04404673387291,75,118,120,"MAONZE","K001M","PresentElder","M","ka","tohutohungia","ma:tou","tohutohungia","tohutohungia","ia",142.756,142.896,"tohutohungia ia","tohutohungia","tohutohuNia",TRUE,"no",5,"no","M","M","K001M-03.trs",0.0731999999999971
"5",5,"ia","g_10;em_12_721;n_31368-n_31369;p_28;#=ew_69_149942;prefix=00561-;[0]=ew_0_6467",0.0163452957680497,0.669062242935317,-0.12537274512641,-0.427164993853604,0.243233984162934,-0.538212355514851,7.99539641587092,-4.11124295111909,-2.50787724966944,2.10236572027053,-4.43092180119667,2.29464473509652,-0.32748884141249,1.05450032982973,0.251784446802237,-0.403518845541796,-0.613625845118525,76,120,122,"MAONZE","K001M","PresentElder","M","kia","akongia","ma:tou","akongia","akongia","ia",150.055,150.185,"akongia ia","akongia","akoNia",TRUE,"no",3,"no","M","M","K001M-03.trs",0.068421052631578
"6",6,"ia","g_100;em_12_162703;n_6281928-n_6281934;p_41;#=ew_69_162701;prefix=13484-;[0]=ew_0_1269930",-0.632882767582187,-0.168715066995104,-0.118697663177678,-0.559333842260342,0.773335456220113,-0.36703317062995,25.2200224600655,-2.38836878428897,-0.264031316004327,-4.09492138318368,-5.98790737385951,0.0994021267629724,-0.726386738032571,1.03317532402282,-0.228381453058044,-0.673814611518154,-0.984803181285385,1879,3053,3124,"MAONZE","K007M","PresentElder","M","reira","kia","hokihoki","kia","kia","ia",95.146,95.246,"kia ia","kia","kia",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0489473684210537
"7",7,"ia","g_100;em_12_162704;n_6281934-n_6281805;p_41;#=ew_69_162708;prefix=13491-;[0]=ew_0_1269036",-1.55729846240607,1.71900234551689,0.666830387521873,-0.174839282354402,0.386054986108705,-0.718572793726387,-21.2510997196272,-6.88660064294872,-3.23928287164227,14.8958082758712,-6.94534097664098,-1.08079623069327,0.603272917367762,1.45428142978478,2.07602677979879,-0.443494820228467,-1.05839067535251,1881,3055,3126,"MAONZE","K007M","PresentElder","M","kua","huria","nga:","huria","huria","ia",98.137,98.337,"huria ia","huria","huria",TRUE,"no",2,"yes","M","M","K007M-05.trs",0.0493333333333339
"8",8,"ia","g_100;em_12_162717;n_6282020-n_6282026;p_41;#=ew_69_162784;prefix=13346-;[0]=ew_0_1268390",-1.76237546309925,0.752103141813496,-0.815871063095163,1.44608103079315,0.804640047094144,-0.752952665864649,69.8717021888184,-1.48491135241596,-4.15238489797326,-20.5864075056386,-14.1462080389833,3.75023348492896,-0.32748884141249,3.06516788015483,-1.17107862414664,-2.0629988377571,0.16120943000492,1860,3022,3093,"MAONZE","K007M","PresentElder","M","e","whakamahia","mai","whakamahia","whakamahia","ia",191.169,191.299,"whakamahia ia","whakamahia","fakamahia",TRUE,"no",4,"yes","M","M","K007M-05.trs",0.0527777777777771
"9",9,"ia","g_100;em_12_162730;n_6282099-n_6282105;p_41;#=ew_69_162849;prefix=13296-;[0]=ew_0_1274860",-2.7424381185865,0.451969581374281,-0.336828412272013,3.25900921688983,-0.344783069547011,0.241966728795667,38.1763693649194,-13.3782391052149,0.396549127002136,-7.41381842247468,-9.34259072882619,0.0729474365589234,-0.85935270357285,2.41911517488408,-1.1154614764657,-0.301002695891764,0.970663800923464,1855,3011,3082,"MAONZE","K007M","PresentElder","M","e","hia","nei","hia","hia","ia",278.49,278.58,"hia ia","hia","hia",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0490000000000009
"10",10,"ia","g_100;em_12_162740;n_6282072-n_6281844;p_41;#=ew_69_162820;prefix=13382-;[0]=ew_0_1268256",-2.98437419320187,-0.682678467477933,0.343009730207285,2.19667923088912,-1.15107192474718,0.155737320134445,-27.3219689746757,7.61619051096739,0.336552351547374,5.76255151554406,-1.22300145477686,-2.09083418014683,0.470306951827672,0.617147152951903,-0.11372062753517,1.213331994469,0.924577497455309,1864,3030,3101,"MAONZE","K007M","PresentElder","M","iwi","kia","ki","kia","kia","ia",238.254,238.444,"kia ia","kia","kia",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0566666666666696
