"","X","SearchName","Transcript","Participant","Corpus","Line","LineEnd","MatchId","URL","Before.Match","Text","After.Match","Number","Target.word","Target.word.start","Target.word.end","Target.teAkaSegment","Target.teAkaSegment.start","Target.teAkaSegment.end","time_0_5","f1_time_0_5","f2_time_0_5","Error"
"1",17,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",43.48,47.609,"g_12;em_12_888;n_31524-n_31525;p_28;#=es_68_2986284;prefix=000017-;[0]=ew_0_7866;[1]=ew_0_7866","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986284",NA,"a-Iri-te-kura",NA,17,"a-Iri-te-kura",43.55,44.93,"u",44.69,44.75,44.72,374,954,""
"2",20,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",47.609,50.603,"g_12;em_12_889;n_31525-n_31526;p_28;#=es_68_2986326;prefix=000020-;[0]=ew_0_7871;[1]=ew_0_7871","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986326",NA,"kuraina",NA,20,"kuraina",48.479,49.059,"u",48.609,48.679,48.644,348,897,""
"3",23,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",50.603,53.759,"g_12;em_12_890;n_31526-n_31527;p_28;#=es_68_2986376;prefix=000023-;[0]=ew_0_7876;[1]=ew_0_7876","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986376",NA,"muri",NA,23,"muri",50.653,50.853,"u",50.693,50.743,50.718,349,961,""
"4",33,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",58.947,64.425,"g_12;em_12_893;n_31529-n_31530;p_28;#=es_68_2986573;prefix=000033-;[0]=ew_0_7902;[1]=ew_0_7902","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986573",NA,"kura",NA,33,"kura",61.737,62.177,"u",61.807,61.867,61.837,348,947,""
"5",38,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",68.175,73.925,"g_12;em_12_895;n_31531-n_31532;p_28;#=es_68_2986671;prefix=000038-;[0]=ew_0_7924;[1]=ew_0_7924","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986671",NA,"kura",NA,38,"kura",71.895,72.315,"u",72.005,72.075,72.04,346,921,""
"6",39,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",73.925,77.883,"g_12;em_12_896;n_31532-n_31533;p_28;#=es_68_2986721;prefix=000039-;[0]=ew_0_7932;[1]=ew_0_7932","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986721",NA,"kura",NA,39,"kura",75.055,75.355,"u",75.195,75.245,75.22,397,903,""
"7",44,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",84.198,86.228,"g_12;em_12_900;n_31536-n_31537;p_28;#=es_68_2986930;prefix=000044-;[0]=ew_0_7958;[1]=ew_0_7958","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986930",NA,"mutu",NA,44,"mutu",84.328,84.548,"u",84.358,84.408,84.383,363,1149,""
"8",45,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",84.198,86.228,"g_12;em_12_900;n_31536-n_31537;p_28;#=es_68_2986945;prefix=000045-;[0]=ew_0_7960;[1]=ew_0_7960","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2986945",NA,"kura",NA,45,"kura",84.638,84.888,"u",84.728,84.778,84.753,331,1124,""
"9",63,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",98.29,102.821,"g_12;em_12_904;n_31540-n_31541;p_28;#=es_68_2987326;prefix=000063-;[0]=ew_0_8002;[1]=ew_0_8002","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2987326",NA,"tohutohu",NA,63,"tohutohu",100.76,101.41,"u",100.96,101.04,101,311,1204,""
"10",71,"teAkaSegment˜^([^aeiouAEIOU].*)$ teAkaSegment˜^([aeiou])$ teAkaSegment˜^([^aeiouAEIOU].*)$","K001M-01.trs","K001M","MAONZE",109.603,113.649,"g_12;em_12_907;n_31543-n_31544;p_28;#=es_68_2987621;prefix=000071-;[0]=ew_0_8019;[1]=ew_0_8019","https://labbcat.canterbury.ac.nz/maonze/transcript?transcript=K001M-01.trs#es_68_2987621",NA,"puta",NA,71,"puta",111.183,111.473,"u",111.263,111.323,111.293,368,1220,""
