"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"1",13,15,"MAONZE","K001M","PresentElder","M","g_12;em_12_918;n_31554-n_31555;p_28;#=ew_69_149533;prefix=00118-;[0]=ew_0_8130","waa","ahakoa","te","ahakoa ","ahakoa","oa",156.371,156.711,"ahakoa oa","ahakoa","ahakoa","oa",TRUE,"no",3,"no","M","M",156.405,441,778,156.439,488,836,156.473,576,962,156.507,608,1038,156.541,650,1078,156.575,687,966,156.609,583,1081,156.643,490,1072,156.677,594,1104,""
"2",21,23,"MAONZE","K001M","PresentElder","M","g_12;em_12_935;n_31571-n_31572;p_28;#=ew_69_149599;prefix=00150-;[0]=ew_0_8264","tae","noa","mai","noa","noa","oa",217.337,217.417,"noa oa","noa","noa","oa",TRUE,"yes",1,"no","M","M",217.345,451,1305,217.353,477,1163,217.361,465,1079,217.369,463,998,217.377,452,936,217.385,452,918,217.393,457,900,217.401,451,868,217.409,435,824,""
"3",25,27,"MAONZE","K001M","PresentElder","M","g_12;em_12_947;n_31583-n_31584;p_28;#=ew_69_149668;prefix=00180-;[0]=ew_0_8384","kai","apoapo","me","apoapo","apoapo","oa",265.616,265.756,"apoapo oa","apoapo","apoapo","oa",FALSE,"no",2,"yes","M","M",265.63,397,754,265.644,419,775,265.658,423,784,265.672,447,814,265.686,482,856,265.7,524,922,265.714,540,929,265.728,515,917,265.742,473,890,""
"4",27,29,"MAONZE","K001M","PresentElder","M","g_12;em_12_949;n_31585-n_31586;p_28;#=ew_69_149672;prefix=00182-;[0]=ew_0_8395","he","poaka","and","poaka","poaka","oa",269.633,269.883,"poaka oa","poaka","poaka","oa",FALSE,"yes",1,"no","M","M",269.658,545,960,269.683,496,908,269.708,448,895,269.733,401,845,269.758,420,792,269.783,468,801,269.808,533,917,269.833,558,934,269.858,515,943,""
"5",29,31,"MAONZE","K001M","PresentElder","M","g_12;em_12_954;n_31590-n_31591;p_28;#=ew_69_149697;prefix=00195-;[0]=ew_0_8435","kai","apoapo","ma:","apoapo","apoapo","oa",283.328,283.508,"apoapo oa","apoapo","apoapo","oa",FALSE,"no",2,"yes","M","M",283.346,513,1820,283.364,474,1539,283.382,422,1133,283.4,431,1051,283.418,446,957,283.436,469,859,283.454,494,883,283.472,549,936,283.49,539,917,""
"6",69,71,"MAONZE","K001M","PresentElder","M","g_11;em_12_830;n_31476-n_31477;p_28;#=ew_69_149345;prefix=00378-;[0]=ew_0_7432","katoa","ahakoa","ko","ahakoa","ahakoa","oa",201.489,201.579,"ahakoa oa","ahakoa","ahakoa","oa",TRUE,"no",3,"no","M","M",201.498,484,815,201.507,501,847,201.516,525,869,201.525,545,872,201.534,555,871,201.543,552,867,201.552,540,850,201.561,523,824,201.57,510,760,""
"7",95,97,"MAONZE","K001M","PresentElder","M","g_10;em_12_691;n_31338-n_31339;p_28;#=ew_69_149752;prefix=00484-;[0]=ew_0_6209","mea","katoa","he","katoa","katoa","oa",44.778,45.118,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",44.812,458,950,44.846,459,879,44.88,501,886,44.914,546,976,44.948,549,985,44.982,554,1066,45.016,565,1073,45.05,576,1098,45.084,569,1247,""
"8",103,105,"MAONZE","K001M","PresentElder","M","g_10;em_12_698;n_31345-n_31346;p_28;#=ew_69_149835;prefix=00506-;[0]=ew_0_6264","mea","katoa","ka:ore","katoa","katoa","oa",70.523,70.873,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",70.558,439,897,70.593,477,869,70.628,511,955,70.663,553,1030,70.698,595,1200,70.733,585,1428,70.768,559,1554,70.803,492,1670,70.838,446,1460,""
"9",106,108,"MAONZE","K001M","PresentElder","M","g_10;em_12_703;n_31350-n_31351;p_28;#=ew_69_149859;prefix=00517-;[0]=ew_0_6308","waa","roa","nei","roa","roa","oa",90.071,90.261,"roa oa","roa","roa","oa",TRUE,"yes",1,"no","M","M",90.09,470,915,90.109,440,757,90.128,484,755,90.147,519,630,90.166,526,731,90.185,526,870,90.204,577,929,90.223,596,959,90.242,611,987,""
"10",123,125,"MAONZE","K001M","PresentElder","M","g_10;em_12_725;n_31372-n_31373;p_28;#=ew_69_149957;prefix=00569-;[0]=ew_0_6502","mea","katoa","hoki","katoa","katoa","oa",164.488,164.588,"katoa oa","katoa","katoa","oa",TRUE,"no",2,"no","M","M",164.498,481,1016,164.508,473,1052,164.518,462,1041,164.528,456,993,164.538,458,957,164.548,454,922,164.558,438,879,164.568,422,869,164.578,455,869,""
