"","X","Transcript","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language"
"1",1,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_878;n_38-n_31519;p_28;#=ew_69_149439;prefix=00037-;[0]=ew_0_7788","rere","kua","mai","kua","kua","ua",9.034,9.294,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M"
"2",2,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_895;n_31531-n_31532;p_28;#=ew_69_149463;prefix=00059-;[0]=ew_0_7916","i","whakaaetia","te","whakaaetia","whakaaetia","ia",69.535,69.685,"whakaaetia ia","whakaaetia","fakaaetia","ia",TRUE,"no",5,"no","M"
"3",3,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_898;n_31534-n_31535;p_28;#=ew_69_149472;prefix=00068-;[0]=ew_0_7944","keeti","kia","hounga","kia","kia","ia",81.022,81.132,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M"
"4",4,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_900;n_31536-n_31537;p_28;#=ew_69_149476;prefix=00072-;[0]=ew_0_7957","hoki","kia","mutu","kia","kia","ia",84.268,84.328,"kia ia","kia","kia","ia",TRUE,"yes",1,"no","M"
"5",6,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_903;n_31539-n_31540;p_28;#=ew_69_149484;prefix=00078-;[0]=ew_0_7982","te","mea","hoki","mea","mea","ea",95.284,95.344,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M"
"6",8,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_907;n_31543-n_31544;p_28;#=ew_69_149494;prefix=00087-;[0]=ew_0_8015","te","mehemea","te","mehemea","mehemea","ea",110.123,110.283,"mehemea ea","mehemea","mehemea","ea",TRUE,"no",3,"no","M"
"7",9,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_907;n_31543-n_31544;p_28;#=ew_69_149496;prefix=00089-;[0]=ew_0_1231550","eenei","a:huatanga","i","a:huatanga","a:huatanga","ua",112.233,112.343,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M"
"8",11,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_913;n_31549-n_31550;p_28;#=ew_69_149514;prefix=00104-;[0]=ew_0_8076","toomaatou","tumuaki","ma:hita","tumuaki","tumuaki","ua",134.333,134.473,"tumuaki ua","tumuaki","tumuaki","ua",FALSE,"no",2,"yes","M"
"9",12,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_917;n_31553-n_31554;p_28;#=ew_69_149526;prefix=00112-;[0]=ew_0_8112","he","mea","hou","mea","mea","ea",146.925,147.075,"mea ea","mea","mea","ea",TRUE,"yes",1,"no","M"
"10",13,"K001M-01.trs","MAONZE","K001M","PresentElder","M","g_12;em_12_918;n_31554-n_31555;p_28;#=ew_69_149533;prefix=00118-;[0]=ew_0_8130","waa","ahakoa","te","ahakoa ","ahakoa","oa",156.371,156.711,"ahakoa oa","ahakoa","ahakoa","oa",TRUE,"no",3,"no","M"
