"","Speaker","Intercept","sequence"
"1","K001M",0.132206046707254,"ea"
"2","K002M",0.560289357082653,"ea"
"3","K003M",0.19859151221639,"ea"
"4","K004M",-0.191533667887392,"ea"
"5","K005M",0.161514167388813,"ea"
"6","K006M",-0.00580820096312236,"ea"
"7","K007M",-0.0880810712990616,"ea"
"8","K008M",-0.303782844730687,"ea"
"9","K009M",-0.479743325313438,"ea"
"10","K010M",0.0163480267985636,"ea"
"11","L1H01M",0.0708048063211008,"ea"
"12","L1H02M",0.16089409951449,"ea"
"13","L1H03M",-0.579155281243294,"ea"
"14","L1H04M",0.390446432542592,"ea"
"15","L1H05M",-0.437558520267945,"ea"
"16","L1H06M",0.394568463133046,"ea"
"17","L1Y01M",0.922712685292137,"ea"
"18","L1Y02M",-0.0828911007049294,"ea"
"19","L1Y03M",0.240800931927084,"ea"
"20","L1Y04M",-0.359134194880708,"ea"
"21","L1Y05M",-0.721488321633626,"ea"
"22","L2H01M",0.213308569766383,"ea"
"23","L2H02M",-0.269481296832468,"ea"
"24","L2H03M",-0.131075397214977,"ea"
"25","L2H04M",0.351582925637791,"ea"
"26","L2H05M",-0.164334801356766,"ea"
"27","L2Y01M",0.248373516222567,"ea"
"28","L2Y02M",0.0258681388744126,"ea"
"29","L2Y03M",0.822695763373598,"ea"
"30","L2Y04M",-0.588002767295093,"ea"
"31","L2Y05M",-0.508934651175545,"ea"
"32","MU01M",0.189394184221125,"ea"
"33","MU02M",-0.0826855979488634,"ea"
"34","MU03M",0.335207772438115,"ea"
"35","MU04M",-0.0854180205810889,"ea"
"36","MU05M",-0.510285420413516,"ea"
"37","MU06M",-0.266830761700144,"ea"
"38","MU07M",-0.302171006724558,"ea"
"39","MU08M",0.627981654320099,"ea"
"40","MU09M",0.0447728581106605,"ea"
"41","MU10M",0.0101201705109895,"ea"
"42","MU11M",0.0399141677670974,"ea"
"43","R001M",-0.497601710862943,"ea"
"44","R002M",0.0984060341910532,"ea"
"45","R003M",-0.328287957839484,"ea"
"46","R004M",0.140730094192031,"ea"
"47","R005M",-0.64286717488226,"ea"
"48","R006M",-0.0332525389244861,"ea"
"49","R007M",0.0735686968207571,"ea"
"50","R008M",-0.60229394346052,"ea"
"51","R009M",-0.506883428721611,"ea"
"52","R010M",0.283264154144045,"ea"
"53","R011M",1.03759755647681,"ea"
"54","R012M",0.977620218866624,"ea"
"55","WU01M",0.0910731418472361,"ea"
"56","WU02M",0.0828215793939463,"ea"
"57","WU03M",0.00610068728240904,"ea"
"58","WU04M",-0.323820374898558,"ea"
"59","WU06M",-0.292303670007003,"ea"
"60","WU07M",0.631692887994364,"ea"
"61","WU08M",-0.195564251612432,"ea"
