"","Speaker","Intercept","sequence"
"1","K001M",0.18993260284624,"oa"
"2","K002M",0.288131850515961,"oa"
"3","K003M",0.219556581357624,"oa"
"4","K004M",0.198818621971323,"oa"
"5","K005M",0.0159369864137646,"oa"
"6","K006M",-0.289756509855077,"oa"
"7","K007M",-0.0974563127889041,"oa"
"8","K008M",-0.206965666938275,"oa"
"9","K009M",-0.464393964448451,"oa"
"10","K010M",0.146195810925761,"oa"
"11","L1H01M",0.228602217703218,"oa"
"12","L1H02M",0.144426691559265,"oa"
"13","L1H03M",0.227064558360458,"oa"
"14","L1H04M",0.11519453016729,"oa"
"15","L1H05M",-0.172563261814017,"oa"
"16","L1H06M",-0.542724735976238,"oa"
"17","L1Y01M",0.189645942561804,"oa"
"18","L1Y02M",0.052473072239478,"oa"
"19","L1Y03M",0.16733182436984,"oa"
"20","L1Y04M",-0.0862114482705382,"oa"
"21","L1Y05M",-0.323239390900601,"oa"
"22","L2H01M",0.171986359092178,"oa"
"23","L2H02M",0.160671212524,"oa"
"24","L2H03M",-0.194661595889597,"oa"
"25","L2H04M",-0.103393855876222,"oa"
"26","L2H05M",-0.0346021198503801,"oa"
"27","L2Y01M",0.0546136073276706,"oa"
"28","L2Y02M",0.14275403039493,"oa"
"29","L2Y03M",0.25841257548109,"oa"
"30","L2Y04M",-0.526479056515424,"oa"
"31","L2Y05M",0.0706988433117161,"oa"
"32","MU01M",0.3409321325707,"oa"
"33","MU02M",0.118227368180208,"oa"
"34","MU03M",-0.120516842397292,"oa"
"35","MU04M",0.0802535265380093,"oa"
"36","MU05M",0.00224651822072631,"oa"
"37","MU06M",0.130046599335098,"oa"
"38","MU07M",-0.423274897866045,"oa"
"39","MU08M",0.0784104765778987,"oa"
"40","MU09M",-0.177734912825593,"oa"
"41","MU10M",0.100198772279646,"oa"
"42","MU11M",-0.128788740613367,"oa"
"43","R001M",-0.0213257134800516,"oa"
"44","R002M",-0.150346585051759,"oa"
"45","R003M",-0.188605853497242,"oa"
"46","R004M",0.437488436640078,"oa"
"47","R005M",-0.0442345069633244,"oa"
"48","R006M",-0.103788315339298,"oa"
"49","R007M",-0.0959989594420186,"oa"
"50","R008M",-0.673125588049301,"oa"
"51","R009M",-0.234936190438466,"oa"
"52","R010M",-0.0774106338831543,"oa"
"53","R011M",0.554204040909033,"oa"
"54","R012M",0.598079868595479,"oa"
"55","WU01M",0.12938188192165,"oa"
"56","WU02M",-0.05868888268286,"oa"
"57","WU03M",0.198695272272884,"oa"
"58","WU04M",-0.0413972629687856,"oa"
"59","WU06M",-0.387492321536893,"oa"
"60","WU07M",0.404722144408735,"oa"
"61","WU08M",-0.245220831414737,"oa"
