"","Speaker","Intercept","sequence"
"1","K001M",-0.0874241358583239,"ua"
"2","K002M",0.466389769443249,"ua"
"3","K003M",0.14061688651909,"ua"
"4","K004M",0.263011952558185,"ua"
"5","K005M",0.120551663203717,"ua"
"6","K006M",-0.238448030635358,"ua"
"7","K007M",0.176974080332498,"ua"
"8","K008M",-0.412251642516943,"ua"
"9","K009M",-0.372548995682632,"ua"
"10","K010M",-0.0568715473634898,"ua"
"11","L1H01M",0.0656272795554333,"ua"
"12","L1H02M",0.0343050839704119,"ua"
"13","L1H03M",-0.0507128221066318,"ua"
"14","L1H04M",-0.266381707466404,"ua"
"15","L1H05M",-0.0364138003682245,"ua"
"16","L1H06M",0.253575966415381,"ua"
"17","L1Y01M",-0.0217591147531287,"ua"
"18","L1Y02M",0.123947049416678,"ua"
"19","L1Y03M",0.139411313940609,"ua"
"20","L1Y04M",-0.0501230676513455,"ua"
"21","L1Y05M",-0.191476180952862,"ua"
"22","L2H01M",0.0957694890620061,"ua"
"23","L2H02M",0.0925478643407479,"ua"
"24","L2H03M",-0.0592774620753179,"ua"
"25","L2H04M",-0.270294738894143,"ua"
"26","L2H05M",0.141254847566669,"ua"
"27","L2Y01M",0.0713233343346735,"ua"
"28","L2Y02M",0.121751667447684,"ua"
"29","L2Y03M",0.297763664399407,"ua"
"30","L2Y04M",-0.446430704898653,"ua"
"31","L2Y05M",-0.044407961283162,"ua"
"32","MU01M",0.333487564416436,"ua"
"33","MU02M",-0.15198528535241,"ua"
"34","MU03M",-0.148822028455653,"ua"
"35","MU04M",0.210109778080624,"ua"
"36","MU05M",-0.169187784747866,"ua"
"37","MU06M",-0.171270528838424,"ua"
"38","MU07M",0.263906975379004,"ua"
"39","MU08M",0.0259549558798142,"ua"
"40","MU09M",0.272547925987858,"ua"
"41","MU10M",-0.30738781243659,"ua"
"42","MU11M",-0.157353759912849,"ua"
"43","R001M",-0.159620479119414,"ua"
"44","R002M",0.0429517940298145,"ua"
"45","R003M",-0.108332897061475,"ua"
"46","R004M",-0.167449497181579,"ua"
"47","R005M",-0.101855856162795,"ua"
"48","R006M",-0.410890715208118,"ua"
"49","R007M",0.0405842450248,"ua"
"50","R008M",-0.504222776058524,"ua"
"51","R009M",0.222651911789038,"ua"
"52","R010M",0.396444545656576,"ua"
"53","R011M",0.312224692271613,"ua"
"54","R012M",0.437515032020102,"ua"
"55","WU01M",0.0127422995329082,"ua"
"56","WU02M",-0.18434177918881,"ua"
"57","WU03M",-0.0126212989147869,"ua"
"58","WU04M",0.134811982891102,"ua"
"59","WU06M",-0.45364135394651,"ua"
"60","WU07M",0.279128980014187,"ua"
"61","WU08M",0.223921169611882,"ua"
