"","X.1","X","Corpus","Speaker","category","participant_gender","MatchId","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","Target.vowelCluster.start","Target.vowelCluster.end","joincode","word","word.alt.format","sequence","final","stress","moraPosition","complex","Language","participant_language","time_0_1","f1_time_0_1","f2_time_0_1","time_0_2","f1_time_0_2","f2_time_0_2","time_0_3","f1_time_0_3","f2_time_0_3","time_0_4","f1_time_0_4","f2_time_0_4","time_0_5","f1_time_0_5","f2_time_0_5","time_0_6","f1_time_0_6","f2_time_0_6","time_0_7","f1_time_0_7","f2_time_0_7","time_0_8","f1_time_0_8","f2_time_0_8","time_0_9","f1_time_0_9","f2_time_0_9","Error"
"1",1,3,"MAONZE","K001M","PresentElder","M","g_12;em_12_878;n_38-n_31519;p_28;#=ew_69_149439;prefix=00037-;[0]=ew_0_7788","rere","kua","mai","kua","kua","ua",9.034,9.294,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",9.06,424,1069,9.086,419,968,9.112,434,990,9.138,445,1029,9.164,452,950,9.19,450,881,9.216,454,834,9.242,417,889,9.268,430,1093,""
"2",9,11,"MAONZE","K001M","PresentElder","M","g_12;em_12_907;n_31543-n_31544;p_28;#=ew_69_149496;prefix=00089-;[0]=ew_0_1231550","eenei","a:huatanga","i","a:huatanga","a:huatanga","ua",112.233,112.343,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M","M",112.244,448,826,112.255,417,889,112.266,376,905,112.277,402,886,112.288,443,1017,112.299,493,1057,112.31,503,1106,112.321,522,1170,112.332,536,1238,""
"3",11,13,"MAONZE","K001M","PresentElder","M","g_12;em_12_913;n_31549-n_31550;p_28;#=ew_69_149514;prefix=00104-;[0]=ew_0_8076","toomaatou","tumuaki","ma:hita","tumuaki","tumuaki","ua",134.333,134.473,"tumuaki ua","tumuaki","tumuaki","ua",FALSE,"no",2,"yes","M","M",134.347,448,809,134.361,465,820,134.375,479,838,134.389,528,892,134.403,558,933,134.417,574,945,134.431,572,952,134.445,605,1053,134.459,664,1115,""
"4",14,16,"MAONZE","K001M","PresentElder","M","g_12;em_12_922;n_31558-n_31559;p_28;#=ew_69_149542;prefix=00124-;[0]=ew_0_1230989","ngaa","a:huatanga","hoki","a:huatanga","a:huatanga","ua",174.726,174.856,"a:huatanga ua","a:huatanga","AhuataNa","ua",FALSE,"no",3,"no","M","M",174.739,419,840,174.752,413,809,174.765,430,852,174.778,450,889,174.791,478,927,174.804,504,960,174.817,507,955,174.83,468,1014,174.843,471,1034,""
"5",18,20,"MAONZE","K001M","PresentElder","M","g_12;em_12_930;n_31566-n_31567;p_28;#=ew_69_149558;prefix=00139-;[0]=ew_0_8218","naa","kua","hou","kua","kua","ua",199.549,199.619,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",199.556,460,829,199.563,479,846,199.57,487,864,199.577,501,889,199.584,516,896,199.591,524,908,199.598,517,898,199.605,519,905,199.612,527,910,""
"6",20,22,"MAONZE","K001M","PresentElder","M","g_12;em_12_933;n_31569-n_31570;p_28;#=ew_69_149564;prefix=00144-;[0]=ew_0_8247","te","huarahi","hei","huarahi","huarahi","ua",211.739,211.859,"huarahi ua","huarahi","huarahi","ua",FALSE,"yes",1,"no","M","M",211.751,371,922,211.763,366,886,211.775,377,910,211.787,406,950,211.799,455,960,211.811,462,996,211.823,523,1038,211.835,553,1087,211.847,542,1118,""
"7",22,24,"MAONZE","K001M","PresentElder","M","g_12;em_12_936;n_31572-n_31573;p_28;#=ew_69_149608;prefix=00155-;[0]=ew_0_1231249","he","a:hua","rereke:","a:hua","a:hua","ua",223.909,224.019,"a:hua ua","a:hua","Ahua","ua",TRUE,"no",3,"no","M","M",223.92,412,910,223.931,400,828,223.942,381,791,223.953,380,793,223.964,402,800,223.975,427,820,223.986,452,897,223.997,464,926,224.008,475,985,""
"8",23,25,"MAONZE","K001M","PresentElder","M","g_12;em_12_937;n_31573-n_31574;p_28;#=ew_69_149610;prefix=00156-;[0]=ew_0_1231037","he","a:hua","rereke:","a:hua","a:hua","ua",225.814,225.914,"a:hua ua","a:hua","Ahua","ua",TRUE,"no",3,"no","M","M",225.824,402,863,225.834,404,846,225.844,404,828,225.854,406,831,225.864,410,840,225.874,413,857,225.884,415,909,225.894,428,969,225.904,442,1064,""
"9",24,26,"MAONZE","K001M","PresentElder","M","g_12;em_12_940;n_31576-n_31577;p_28;#=ew_69_149617;prefix=00159-;[0]=ew_0_8319","ngaa","whakahua","kupu","whakahua","whakahua","ua",242.455,242.725,"whakahua ua","whakahua","fakahua","ua",TRUE,"yes",3,"no","M","M",242.482,319,854,242.509,333,870,242.536,397,938,242.563,473,970,242.59,545,993,242.617,585,985,242.644,592,969,242.671,695,983,242.698,630,1128,""
"10",41,43,"MAONZE","K001M","PresentElder","M","g_11;em_12_783;n_31429-n_31430;p_28;#=ew_69_149215;prefix=00258-;[0]=ew_0_7012","naa","kua","puta","kua","kua","ua",17.983,18.133,"kua ua","kua","kua","ua",TRUE,"yes",1,"no","M","M",17.998,399,816,18.013,407,812,18.028,466,860,18.043,499,859,18.058,484,863,18.073,419,837,18.088,489,764,18.103,496,724,18.118,477,796,""
