"","X.3","sequence","MatchId","F1..fPC1","F1..fPC2","F1..fPC3","F2..fPC1","F2..fPC2","F2..fPC3","Pitch..fPC1","Pitch..fPC2","Pitch..fPC3","Intensity..fPC1","Intensity..fPC2","Intensity..fPC3","Duration..z.scored","PC1","PC2","PC3","PC4","X.2","X.1","X","Corpus","Speaker","category","participant_gender","Before.Match","Text","After.Match","Target.word","Target.orthography","Target.vowelCluster","target_timestamp","Target.vowelCluster.end","joincode","word","word.alt.format","final","stress","moraPosition","complex","Language","participant_language","target_transcript","mean_rate"
"1",1,"ua","g_10;em_12_693;n_31340-n_31341;p_28;#=ew_69_149780;prefix=00493-;[0]=ew_0_6228",-0.639368556199513,0.457789129920536,0.0293445984490495,0.419175259320957,-0.000943251507702081,0.0156886539410957,-46.9865266494968,0.770479914306906,-1.43655838923176,-2.98614139848145,2.8620607555417,2.59050630421526,-0.32748884141249,-0.225384685330452,-0.100803292341154,-0.168594048538788,0.425366817284498,58,98,100,"MAONZE","K001M","PresentElder","M","waa","kua","kite","kua","kua","ua",53.536,53.666,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0666666666666658
"2",2,"ua","g_10;em_12_695;n_31342-n_31343;p_28;#=ew_69_149794;prefix=00497-;[0]=ew_0_6239",-1.59430202544071,-0.106019148077301,-0.0422203450333141,0.786311540951254,0.0110810416919041,0.0910903633116151,-10.2154287764741,1.16106873286383,-0.786726299637668,-8.50396538864894,4.97659438999487,0.269721937156351,-0.1945228758724,-0.214347183241476,-0.210569375957535,0.574006291952261,-0.455820759820753,59,99,101,"MAONZE","K001M","PresentElder","M","hoki","kua","kite","kua","kua","ua",59.157,59.297,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0646666666666671
"3",3,"ua","g_10;em_12_695;n_31342-n_31343;p_28;#=ew_69_149800;prefix=00499-;[0]=ew_0_6242",0.683795750021604,0.349689291436447,0.0798206111100527,0.374325195103166,0.358768418281404,-0.0604554307123646,-8.38711858599952,-4.01056746676133,-1.27707068496004,-10.4199516982824,-3.88003248834868,0.904680913343954,-0.593420772492386,-0.140282718191557,-0.717191528278901,0.186214263314016,0.165004328563941,60,100,102,"MAONZE","K001M","PresentElder","M","maatou","kua","noho","kua","kua","ua",60.157,60.267,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0646666666666671
"4",4,"ua","g_10;em_12_696;n_31343-n_31344;p_28;#=ew_69_149810;prefix=00502-;[0]=ew_0_6247",0.345981627038621,-0.631415501817635,-0.322902719930634,1.14051143411981,0.438882164982804,-0.0575166432843327,-4.16269983745393,-4.76758129969109,-1.73431475602384,-12.6752382260992,-0.197073064513323,-2.55471255694476,-0.593420772492481,-0.248594021609587,-0.104034580550072,0.962112539183416,-1.28797564969852,61,101,103,"MAONZE","K001M","PresentElder","M","reira","kua","rongo","kua","kua","ua",62.567,62.677,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0671428571428585
"5",5,"ua","g_10;em_12_713;n_31360-n_31361;p_28;#=ew_69_149906;prefix=00540-;[0]=ew_0_6390",1.03835409770936,0.328273097341544,-0.0907124135372468,-0.345729467334275,-0.194138275345947,0.263530627988984,-12.6907115719845,-1.49674463470179,-0.863196289166366,-7.77039114765915,3.495344510179,-0.40676531393373,-0.726386738032382,0.0262782636977155,-0.343881599603924,0.059923478274199,-0.675655751922884,71,114,116,"MAONZE","K001M","PresentElder","M","hoki","kua","taka","kua","kua","ua",121.282,121.382,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0600000000000013
"6",6,"ua","g_10;em_12_735;n_31382-n_31383;p_28;#=ew_69_150015;prefix=00599-;[0]=ew_0_1230817",-1.59864164936893,0.424985580697618,-0.41222736769097,0.942740277595155,-0.619912627028955,0.108015293127442,-26.3335099736001,3.63154472673177,-2.34138912387075,8.25724970288127,-4.61714088513142,1.07853546795155,-0.460454806952391,-1.75943226520981,-0.194393999231885,-0.363806695272316,0.0394472783455916,79,125,127,"MAONZE","K001M","PresentElder","M","kua","a:hua","wareware","a:hua","a:hua","ua",199.831,199.951,"a:hua ua","a:hua","Ahua",TRUE,"no",3,"no","M","M","K001M-03.trs",0.065500000000003
"7",7,"ua","g_10;em_12_747;n_31394-n_31395;p_28;#=ew_69_150118;prefix=00632-;[0]=ew_0_1230915",-0.809492460537601,0.4077530227499,-0.0439541989070884,1.26573636308996,0.160226458562543,-0.120100912697736,-15.2191004991957,7.75014179697501,-0.39802342623596,-1.37695583034894,3.30060443678464,0.968073362163662,-0.59342077249267,-0.266477320717748,0.035007813274983,0.413325908604997,-0.264320546214784,81,129,131,"MAONZE","K001M","PresentElder","M","aa","kua","pakeke","kua","kua","ua",236.388,236.498,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0556521739130398
"8",8,"ua","g_10;em_12_754;n_31401-n_31402;p_28;#=ew_69_150153;prefix=00647-;[0]=ew_0_6773",1.58583887648392,0.83010291166239,-0.537198493399026,0.249008539703758,0.0659244564321915,-0.383099913877701,16.5820154650854,0.835104984619143,-0.604750330425385,-3.89088584196559,10.4328948475393,0.303311831498046,-0.726386738032193,1.00325541713125,0.456991874626667,0.475087791879489,-0.913233394321142,82,131,133,"MAONZE","K001M","PresentElder","M","nei","kua","ti:mata","kua","kua","ua",259.292,259.392,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K001M-03.trs",0.0593749999999975
"9",9,"ua","g_100;em_12_162704;n_6281934-n_6281805;p_41;#=ew_69_162707;prefix=13490-;[0]=ew_0_1271205",-1.17673753892975,0.221940982175504,0.0964547451614105,0.726698006580971,-0.251567230691293,-0.133233664338287,-45.7313362827005,-4.40724406098367,-1.93703115456321,-0.567061536599829,-8.42136275244003,0.799108255833608,-0.992318669112562,-1.62494568318073,-0.352549226219863,0.253995425882091,0.750167255440226,1880,3054,3125,"MAONZE","K007M","PresentElder","M","reira","kua","huria","kua","kua","ua",97.907,97.987,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0493333333333339
"10",10,"ua","g_100;em_12_162725;n_6281964-n_6281970;p_41;#=ew_69_162749;prefix=13404-;[0]=ew_0_1271417",-0.666716233546341,0.112548723693082,-0.103790224077117,-0.593958437381651,0.512815562250188,0.203918066810821,22.5051972786173,0.05059823911543,-0.677391402217674,-10.5613011605781,-3.66328120854527,2.6016508717551,-0.992318669112373,-0.620758021622609,-0.959456008550814,0.0674078940598986,0.315146111072699,1869,3037,3108,"MAONZE","K007M","PresentElder","M","reira","kua","ti:mata","kua","kua","ua",138.196,138.276,"kua ua","kua","kua",TRUE,"yes",1,"no","M","M","K007M-05.trs",0.0526315789473669
